"province_code","year","month","influenza","influenza_death","dengue_fever","dengue_fever_death","diarrhoea","diarrhoea_death","date1"
15,1997,1,4334.0,0.0,0.0,0.0,827.0,0.0,1997-01-15
15,1997,1,4334.0,0.0,0.0,0.0,827.0,0.0,1997-01-15
15,1997,1,4334.0,0.0,0.0,0.0,827.0,0.0,1997-01-15
15,1997,1,4334.0,0.0,0.0,0.0,827.0,0.0,1997-01-15
30,1997,1,0.0,0.0,0.0,0.0,0.0,0.0,1997-01-15
30,1997,1,0.0,0.0,0.0,0.0,0.0,0.0,1997-01-15
30,1997,1,0.0,0.0,0.0,0.0,0.0,0.0,1997-01-15
27,1997,1,2001.0,0.0,0.0,0.0,722.0,0.0,1997-01-15
27,1997,1,2001.0,0.0,0.0,0.0,722.0,0.0,1997-01-15
27,1997,1,2001.0,0.0,0.0,0.0,722.0,0.0,1997-01-15
27,1997,1,2001.0,0.0,0.0,0.0,722.0,0.0,1997-01-15
27,1997,1,2001.0,0.0,0.0,0.0,722.0,0.0,1997-01-15
27,1997,1,2001.0,0.0,0.0,0.0,722.0,0.0,1997-01-15
27,1997,1,2001.0,0.0,0.0,0.0,722.0,0.0,1997-01-15
27,1997,1,2001.0,0.0,0.0,0.0,722.0,0.0,1997-01-15
3,1997,1,467.0,0.0,0.0,0.0,232.0,0.0,1997-01-15
3,1997,1,467.0,0.0,0.0,0.0,232.0,0.0,1997-01-15
3,1997,1,467.0,0.0,0.0,0.0,232.0,0.0,1997-01-15
3,1997,1,467.0,0.0,0.0,0.0,232.0,0.0,1997-01-15
29,1997,1,631.0,0.0,0.0,0.0,267.0,0.0,1997-01-15
29,1997,1,631.0,0.0,0.0,0.0,267.0,0.0,1997-01-15
25,1997,1,613.0,0.0,0.0,0.0,428.0,0.0,1997-01-15
16,1997,1,621.0,0.0,0.0,0.0,189.0,0.0,1997-01-15
16,1997,1,621.0,0.0,0.0,0.0,189.0,0.0,1997-01-15
16,1997,1,621.0,0.0,0.0,0.0,189.0,0.0,1997-01-15
16,1997,1,621.0,0.0,0.0,0.0,189.0,0.0,1997-01-15
7,1997,1,407.0,0.0,0.0,0.0,236.0,0.0,1997-01-15
7,1997,1,407.0,0.0,0.0,0.0,236.0,0.0,1997-01-15
31,1997,1,91.0,0.0,0.0,0.0,100.0,0.0,1997-01-15
31,1997,1,91.0,0.0,0.0,0.0,100.0,0.0,1997-01-15
24,1997,1,42.0,0.0,0.0,0.0,124.0,0.0,1997-01-15
24,1997,1,42.0,0.0,0.0,0.0,124.0,0.0,1997-01-15
4,1997,1,1779.0,0.0,0.0,0.0,512.0,0.0,1997-01-15
4,1997,1,1779.0,0.0,0.0,0.0,512.0,0.0,1997-01-15
20,1997,1,940.0,0.0,0.0,0.0,741.0,0.0,1997-01-15
13,1997,1,443.0,0.0,0.0,0.0,286.0,0.0,1997-01-15
13,1997,1,443.0,0.0,0.0,0.0,286.0,0.0,1997-01-15
13,1997,1,443.0,0.0,0.0,0.0,286.0,0.0,1997-01-15
9,1997,1,1152.0,0.0,0.0,0.0,457.0,0.0,1997-01-15
9,1997,1,1152.0,0.0,0.0,0.0,457.0,0.0,1997-01-15
9,1997,1,1152.0,0.0,0.0,0.0,457.0,0.0,1997-01-15
8,1997,1,1251.0,0.0,0.0,0.0,1218.0,0.0,1997-01-15
8,1997,1,1251.0,0.0,0.0,0.0,1218.0,0.0,1997-01-15
8,1997,1,1251.0,0.0,0.0,0.0,1218.0,0.0,1997-01-15
11,1997,1,345.0,0.0,5.0,0.0,428.0,0.0,1997-01-15
11,1997,1,345.0,0.0,5.0,0.0,428.0,0.0,1997-01-15
11,1997,1,345.0,0.0,5.0,0.0,428.0,0.0,1997-01-15
6,1997,1,117.0,0.0,2.0,0.0,456.0,0.0,1997-01-15
15,1997,1,517.0,0.0,0.0,0.0,1848.0,0.0,1997-01-15
15,1997,1,517.0,0.0,0.0,0.0,1848.0,0.0,1997-01-15
15,1997,1,517.0,0.0,0.0,0.0,1848.0,0.0,1997-01-15
10,1997,1,2703.0,0.0,0.0,0.0,1755.0,0.0,1997-01-15
2,1997,1,0.0,0.0,0.0,0.0,0.0,0.0,1997-01-15
17,1997,1,899.0,0.0,0.0,0.0,3414.0,0.0,1997-01-15
17,1997,1,899.0,0.0,0.0,0.0,3414.0,0.0,1997-01-15
12,1997,1,2470.0,0.0,0.0,0.0,4741.0,0.0,1997-01-15
19,1997,1,608.0,0.0,0.0,0.0,1915.0,0.0,1997-01-15
19,1997,1,608.0,0.0,0.0,0.0,1915.0,0.0,1997-01-15
22,1997,1,6482.0,0.0,0.0,0.0,3671.0,0.0,1997-01-15
22,1997,1,6482.0,0.0,0.0,0.0,3671.0,0.0,1997-01-15
22,1997,1,6482.0,0.0,0.0,0.0,3671.0,0.0,1997-01-15
22,1997,1,6482.0,0.0,0.0,0.0,3671.0,0.0,1997-01-15
22,1997,1,6482.0,0.0,0.0,0.0,3671.0,0.0,1997-01-15
23,1997,1,4928.0,0.0,0.0,0.0,2354.0,0.0,1997-01-15
23,1997,1,4928.0,0.0,0.0,0.0,2354.0,0.0,1997-01-15
23,1997,1,4928.0,0.0,0.0,0.0,2354.0,0.0,1997-01-15
