"province_code","station_id","year","month","population","date1"
15,MườngTè,1997,1,562.8,1997-01-15
15,SìnHồ,1997,1,562.8,1997-01-15
15,TamĐường,1997,1,562.8,1997-01-15
15,ThanUyên,1997,1,562.8,1997-01-15
30,LaiChâu,1997,1,0.0,1997-01-15
30,TuầnGiáo,1997,1,0.0,1997-01-15
30,ĐiệnBiên,1997,1,0.0,1997-01-15
27,QuỳnhNhai,1997,1,855.0,1997-01-15
27,SôngMã,1997,1,855.0,1997-01-15
27,CòNòi,1997,1,855.0,1997-01-15
27,YênChâu,1997,1,855.0,1997-01-15
27,BắcYên,1997,1,855.0,1997-01-15
27,PhùYên,1997,1,855.0,1997-01-15
27,MộcChâu,1997,1,855.0,1997-01-15
27,SơnLa,1997,1,855.0,1997-01-15
3,KimBôi,1997,1,741.6,1997-01-15
3,ChiNê,1997,1,741.6,1997-01-15
3,LạcSơn,1997,1,741.6,1997-01-15
3,HoàBình,1997,1,741.6,1997-01-15
29,BắcQuang,1997,1,577.7,1997-01-15
29,HàGiang,1997,1,577.7,1997-01-15
25,SaPa,1997,1,574.5,1997-01-15
16,MùCăngChải,1997,1,664.5,1997-01-15
16,VănChấn,1997,1,664.5,1997-01-15
16,LụcYên,1997,1,664.5,1997-01-15
16,YênBái,1997,1,664.5,1997-01-15
7,HàmYên,1997,1,659.0,1997-01-15
7,TuyênQuang,1997,1,659.0,1997-01-15
31,NgânSơn,1997,1,265.2,1997-01-15
31,BắcCạn,1997,1,265.2,1997-01-15
24,ĐịnhHoá,1997,1,1029.6,1997-01-15
24,TháiNguyên,1997,1,1029.6,1997-01-15
4,PhúHộ,1997,1,1237.9,1997-01-15
4,ViệtTrì,1997,1,1237.9,1997-01-15
20,VĩnhYên,1997,1,1075.8,1997-01-15
13,BảoLạc,1997,1,490.0,1997-01-15
13,TrùngKhánh,1997,1,490.0,1997-01-15
13,CaoBằng,1997,1,490.0,1997-01-15
9,HữuLũng,1997,1,694.7,1997-01-15
9,ThấtKhê,1997,1,694.7,1997-01-15
9,LạngSơn,1997,1,694.7,1997-01-15
8,LụcNgạn,1997,1,1468.3,1997-01-15
8,SơnĐộng,1997,1,1468.3,1997-01-15
8,BắcGiang,1997,1,1468.3,1997-01-15
11,UôngBí,1997,1,974.4,1997-01-15
11,CửaÔng,1997,1,974.4,1997-01-15
11,TiênYên,1997,1,974.4,1997-01-15
6,PhùLiễn,1997,1,1641.9,1997-01-15
1,HàĐông,1997,1,2556.0,1997-01-15
1,SơnTây,1997,1,2556.0,1997-01-15
1,HàNội,1997,1,2556.0,1997-01-15
10,HảiDương,1997,1,1630.5,1997-01-15
2,HưngYên,1997,1,1052.2,1997-01-15
17,NamĐịnh,1997,1,1856.2,1997-01-15
17,VănLý,1997,1,1856.2,1997-01-15
12,TháiBình,1997,1,1769.5,1997-01-15
19,NinhBình,1997,1,874.2,1997-01-15
19,NhoQuan,1997,1,874.2,1997-01-15
22,YênĐịnh,1997,1,3414.1,1997-01-15
22,Nhưuân,1997,1,3414.1,1997-01-15
22,TĩnhGia,1997,1,3414.1,1997-01-15
22,ThanhHoá,1997,1,3414.1,1997-01-15
22,Hồiuân,1997,1,3414.1,1997-01-15
23,QuỳChâu,1997,1,2791.3,1997-01-15
23,QuỳHợp,1997,1,2791.3,1997-01-15
23,TâyHiếu,1997,1,2791.3,1997-01-15
23,QuỳnhLưu,1997,1,2791.3,1997-01-15
23,ConCuông,1997,1,2791.3,1997-01-15
23,ĐôLương,1997,1,2791.3,1997-01-15
23,TươngDương,1997,1,2791.3,1997-01-15
23,Vinh,1997,1,2791.3,1997-01-15
21,HươngKhê,1997,1,1258.6,1997-01-15
21,KỳAnh,1997,1,1258.6,1997-01-15
21,HàTĩnh,1997,1,1258.6,1997-01-15
38,BaĐồn,1997,1,771.0,1997-01-15
38,ĐồngHới,1997,1,771.0,1997-01-15
26,ĐôngHà,1997,1,555.0,1997-01-15
26,KheSanh,1997,1,555.0,1997-01-15
45,Huế,1997,1,0.0,1997-01-15
32,ĐàNẵng,1997,1,0.0,1997-01-15
49,TamKỳ,1997,1,1348.1,1997-01-15
49,TràMy,1997,1,1348.1,1997-01-15
28,QuảngNgãi,1997,1,1170.4,1997-01-15
40,HoàiNhơn,1997,1,0.0,1997-01-15
40,QuyNhơn,1997,1,0.0,1997-01-15
56,TuyHoà,1997,1,764.4,1997-01-15
42,NhaTrang,1997,1,0.0,1997-01-15
43,CamRanh,1997,1,487.1,1997-01-15
61,PhanThiết,1997,1,1001.1,1997-01-15
61,PhúQuý,1997,1,1001.1,1997-01-15
35,KonTum,1997,1,297.3,1997-01-15
41,P-lâyCu,1997,1,912.8,1997-01-15
41,AyunPa,1997,1,912.8,1997-01-15
37,B.M.thuot,1997,1,0.0,1997-01-15
55,ĐácNông,1997,1,0.0,1997-01-15
34,ĐàLạt,1997,1,0.0,1997-01-15
34,BảoLộc,1997,1,0.0,1997-01-15
57,ĐồngPhú,1997,1,572.6,1997-01-15
48,TâyNinh,1997,1,938.8,1997-01-15
36,VũngTàu,1997,1,775.6,1997-01-15
59,MộcHoá,1997,1,1279.9,1997-01-15
60,MỹTho,1997,1,1593.6,1997-01-15
52,CaoLãnh,1997,1,0.0,1997-01-15
62,CàngLong,1997,1,950.8,1997-01-15
46,ChâuĐốc,1997,1,2011.1,1997-01-15
39,CầnThơ,1997,1,1778.0,1997-01-15
63,SócTrăng,1997,1,1162.3,1997-01-15
51,RạchGiá,1997,1,1452.9,1997-01-15
64,BạcLiêu,1997,1,724.2,1997-01-15
54,CàMau,1997,1,1081.1,1997-01-15
15,MườngTè,1997,2,562.8,1997-02-15
15,SìnHồ,1997,2,562.8,1997-02-15
15,TamĐường,1997,2,562.8,1997-02-15
15,ThanUyên,1997,2,562.8,1997-02-15
30,LaiChâu,1997,2,0.0,1997-02-15
30,TuầnGiáo,1997,2,0.0,1997-02-15
30,ĐiệnBiên,1997,2,0.0,1997-02-15
27,QuỳnhNhai,1997,2,855.0,1997-02-15
27,SôngMã,1997,2,855.0,1997-02-15
27,CòNòi,1997,2,855.0,1997-02-15
27,YênChâu,1997,2,855.0,1997-02-15
27,BắcYên,1997,2,855.0,1997-02-15
27,PhùYên,1997,2,855.0,1997-02-15
27,MộcChâu,1997,2,855.0,1997-02-15
27,SơnLa,1997,2,855.0,1997-02-15
3,KimBôi,1997,2,741.6,1997-02-15
3,ChiNê,1997,2,741.6,1997-02-15
3,LạcSơn,1997,2,741.6,1997-02-15
3,HoàBình,1997,2,741.6,1997-02-15
29,BắcQuang,1997,2,577.7,1997-02-15
29,HàGiang,1997,2,577.7,1997-02-15
25,SaPa,1997,2,574.5,1997-02-15
16,MùCăngChải,1997,2,664.5,1997-02-15
16,VănChấn,1997,2,664.5,1997-02-15
16,LụcYên,1997,2,664.5,1997-02-15
16,YênBái,1997,2,664.5,1997-02-15
7,HàmYên,1997,2,659.0,1997-02-15
7,TuyênQuang,1997,2,659.0,1997-02-15
31,NgânSơn,1997,2,265.2,1997-02-15
31,BắcCạn,1997,2,265.2,1997-02-15
24,ĐịnhHoá,1997,2,1029.6,1997-02-15
24,TháiNguyên,1997,2,1029.6,1997-02-15
4,PhúHộ,1997,2,1237.9,1997-02-15
4,ViệtTrì,1997,2,1237.9,1997-02-15
20,VĩnhYên,1997,2,1075.8,1997-02-15
13,BảoLạc,1997,2,490.0,1997-02-15
13,TrùngKhánh,1997,2,490.0,1997-02-15
13,CaoBằng,1997,2,490.0,1997-02-15
9,HữuLũng,1997,2,694.7,1997-02-15
9,ThấtKhê,1997,2,694.7,1997-02-15
9,LạngSơn,1997,2,694.7,1997-02-15
8,LụcNgạn,1997,2,1468.3,1997-02-15
8,SơnĐộng,1997,2,1468.3,1997-02-15
8,BắcGiang,1997,2,1468.3,1997-02-15
11,UôngBí,1997,2,974.4,1997-02-15
11,CửaÔng,1997,2,974.4,1997-02-15
11,TiênYên,1997,2,974.4,1997-02-15
6,PhùLiễn,1997,2,1641.9,1997-02-15
1,HàĐông,1997,2,2556.0,1997-02-15
1,SơnTây,1997,2,2556.0,1997-02-15
1,HàNội,1997,2,2556.0,1997-02-15
10,HảiDương,1997,2,1630.5,1997-02-15
2,HưngYên,1997,2,1052.2,1997-02-15
17,NamĐịnh,1997,2,1856.2,1997-02-15
17,VănLý,1997,2,1856.2,1997-02-15
12,TháiBình,1997,2,1769.5,1997-02-15
19,NinhBình,1997,2,874.2,1997-02-15
19,NhoQuan,1997,2,874.2,1997-02-15
22,YênĐịnh,1997,2,3414.1,1997-02-15
22,Nhưuân,1997,2,3414.1,1997-02-15
22,TĩnhGia,1997,2,3414.1,1997-02-15
22,ThanhHoá,1997,2,3414.1,1997-02-15
22,Hồiuân,1997,2,3414.1,1997-02-15
23,QuỳChâu,1997,2,2791.3,1997-02-15
23,QuỳHợp,1997,2,2791.3,1997-02-15
23,TâyHiếu,1997,2,2791.3,1997-02-15
23,QuỳnhLưu,1997,2,2791.3,1997-02-15
23,ConCuông,1997,2,2791.3,1997-02-15
23,ĐôLương,1997,2,2791.3,1997-02-15
23,TươngDương,1997,2,2791.3,1997-02-15
23,Vinh,1997,2,2791.3,1997-02-15
21,HươngKhê,1997,2,1258.6,1997-02-15
21,KỳAnh,1997,2,1258.6,1997-02-15
21,HàTĩnh,1997,2,1258.6,1997-02-15
38,BaĐồn,1997,2,771.0,1997-02-15
38,ĐồngHới,1997,2,771.0,1997-02-15
26,ĐôngHà,1997,2,555.0,1997-02-15
26,KheSanh,1997,2,555.0,1997-02-15
45,Huế,1997,2,1023.1,1997-02-15
32,ĐàNẵng,1997,2,661.8,1997-02-15
49,TamKỳ,1997,2,1348.1,1997-02-15
49,TràMy,1997,2,1348.1,1997-02-15
28,QuảngNgãi,1997,2,1170.4,1997-02-15
40,HoàiNhơn,1997,2,1431.3,1997-02-15
40,QuyNhơn,1997,2,1431.3,1997-02-15
56,TuyHoà,1997,2,764.4,1997-02-15
42,NhaTrang,1997,2,996.7,1997-02-15
43,CamRanh,1997,2,487.1,1997-02-15
61,PhanThiết,1997,2,1001.1,1997-02-15
61,PhúQuý,1997,2,1001.1,1997-02-15
35,KonTum,1997,2,297.3,1997-02-15
41,P-lâyCu,1997,2,912.8,1997-02-15
41,AyunPa,1997,2,912.8,1997-02-15
37,B.M.thuot,1997,2,1605.1,1997-02-15
55,ĐácNông,1997,2,0.0,1997-02-15
34,ĐàLạt,1997,2,927.9,1997-02-15
34,BảoLộc,1997,2,927.9,1997-02-15
57,ĐồngPhú,1997,2,572.6,1997-02-15
48,TâyNinh,1997,2,938.8,1997-02-15
36,VũngTàu,1997,2,775.6,1997-02-15
59,MộcHoá,1997,2,1279.9,1997-02-15
60,MỹTho,1997,2,1593.6,1997-02-15
52,CaoLãnh,1997,2,1532.5,1997-02-15
62,CàngLong,1997,2,950.8,1997-02-15
46,ChâuĐốc,1997,2,2011.1,1997-02-15
39,CầnThơ,1997,2,1778.0,1997-02-15
63,SócTrăng,1997,2,1162.3,1997-02-15
51,RạchGiá,1997,2,1452.9,1997-02-15
64,BạcLiêu,1997,2,724.2,1997-02-15
54,CàMau,1997,2,1081.1,1997-02-15
15,MườngTè,1997,3,562.8,1997-03-15
15,SìnHồ,1997,3,562.8,1997-03-15
15,TamĐường,1997,3,562.8,1997-03-15
15,ThanUyên,1997,3,562.8,1997-03-15
30,LaiChâu,1997,3,0.0,1997-03-15
30,TuầnGiáo,1997,3,0.0,1997-03-15
30,ĐiệnBiên,1997,3,0.0,1997-03-15
27,QuỳnhNhai,1997,3,855.0,1997-03-15
27,SôngMã,1997,3,855.0,1997-03-15
27,CòNòi,1997,3,855.0,1997-03-15
27,YênChâu,1997,3,855.0,1997-03-15
27,BắcYên,1997,3,855.0,1997-03-15
27,PhùYên,1997,3,855.0,1997-03-15
27,MộcChâu,1997,3,855.0,1997-03-15
27,SơnLa,1997,3,855.0,1997-03-15
3,KimBôi,1997,3,741.6,1997-03-15
3,ChiNê,1997,3,741.6,1997-03-15
3,LạcSơn,1997,3,741.6,1997-03-15
3,HoàBình,1997,3,741.6,1997-03-15
29,BắcQuang,1997,3,577.7,1997-03-15
29,HàGiang,1997,3,577.7,1997-03-15
25,SaPa,1997,3,574.5,1997-03-15
16,MùCăngChải,1997,3,664.5,1997-03-15
16,VănChấn,1997,3,664.5,1997-03-15
16,LụcYên,1997,3,664.5,1997-03-15
16,YênBái,1997,3,664.5,1997-03-15
7,HàmYên,1997,3,659.0,1997-03-15
7,TuyênQuang,1997,3,659.0,1997-03-15
31,NgânSơn,1997,3,265.2,1997-03-15
31,BắcCạn,1997,3,265.2,1997-03-15
24,ĐịnhHoá,1997,3,1029.6,1997-03-15
24,TháiNguyên,1997,3,1029.6,1997-03-15
4,PhúHộ,1997,3,1237.9,1997-03-15
4,ViệtTrì,1997,3,1237.9,1997-03-15
20,VĩnhYên,1997,3,1075.8,1997-03-15
13,BảoLạc,1997,3,490.0,1997-03-15
13,TrùngKhánh,1997,3,490.0,1997-03-15
13,CaoBằng,1997,3,490.0,1997-03-15
9,HữuLũng,1997,3,694.7,1997-03-15
9,ThấtKhê,1997,3,694.7,1997-03-15
9,LạngSơn,1997,3,694.7,1997-03-15
8,LụcNgạn,1997,3,1468.3,1997-03-15
8,SơnĐộng,1997,3,1468.3,1997-03-15
8,BắcGiang,1997,3,1468.3,1997-03-15
11,UôngBí,1997,3,974.4,1997-03-15
11,CửaÔng,1997,3,974.4,1997-03-15
11,TiênYên,1997,3,974.4,1997-03-15
6,PhùLiễn,1997,3,1641.9,1997-03-15
1,HàĐông,1997,3,2556.0,1997-03-15
1,SơnTây,1997,3,2556.0,1997-03-15
1,HàNội,1997,3,2556.0,1997-03-15
10,HảiDương,1997,3,1630.5,1997-03-15
2,HưngYên,1997,3,1052.2,1997-03-15
17,NamĐịnh,1997,3,1856.2,1997-03-15
17,VănLý,1997,3,1856.2,1997-03-15
12,TháiBình,1997,3,1769.5,1997-03-15
19,NinhBình,1997,3,874.2,1997-03-15
19,NhoQuan,1997,3,874.2,1997-03-15
22,YênĐịnh,1997,3,3414.1,1997-03-15
22,Nhưuân,1997,3,3414.1,1997-03-15
22,TĩnhGia,1997,3,3414.1,1997-03-15
22,ThanhHoá,1997,3,3414.1,1997-03-15
22,Hồiuân,1997,3,3414.1,1997-03-15
23,QuỳChâu,1997,3,2791.3,1997-03-15
23,QuỳHợp,1997,3,2791.3,1997-03-15
23,TâyHiếu,1997,3,2791.3,1997-03-15
23,QuỳnhLưu,1997,3,2791.3,1997-03-15
23,ConCuông,1997,3,2791.3,1997-03-15
23,ĐôLương,1997,3,2791.3,1997-03-15
23,TươngDương,1997,3,2791.3,1997-03-15
23,Vinh,1997,3,2791.3,1997-03-15
21,HươngKhê,1997,3,1258.6,1997-03-15
21,KỳAnh,1997,3,1258.6,1997-03-15
21,HàTĩnh,1997,3,1258.6,1997-03-15
38,BaĐồn,1997,3,771.0,1997-03-15
38,ĐồngHới,1997,3,771.0,1997-03-15
26,ĐôngHà,1997,3,555.0,1997-03-15
26,KheSanh,1997,3,555.0,1997-03-15
45,Huế,1997,3,1023.1,1997-03-15
32,ĐàNẵng,1997,3,661.8,1997-03-15
49,TamKỳ,1997,3,1348.1,1997-03-15
49,TràMy,1997,3,1348.1,1997-03-15
28,QuảngNgãi,1997,3,1170.4,1997-03-15
40,HoàiNhơn,1997,3,1431.3,1997-03-15
40,QuyNhơn,1997,3,1431.3,1997-03-15
56,TuyHoà,1997,3,764.4,1997-03-15
42,NhaTrang,1997,3,996.7,1997-03-15
43,CamRanh,1997,3,487.1,1997-03-15
61,PhanThiết,1997,3,1001.1,1997-03-15
61,PhúQuý,1997,3,1001.1,1997-03-15
35,KonTum,1997,3,297.3,1997-03-15
41,P-lâyCu,1997,3,912.8,1997-03-15
41,AyunPa,1997,3,912.8,1997-03-15
37,B.M.thuot,1997,3,1605.1,1997-03-15
55,ĐácNông,1997,3,0.0,1997-03-15
34,ĐàLạt,1997,3,927.9,1997-03-15
34,BảoLộc,1997,3,927.9,1997-03-15
57,ĐồngPhú,1997,3,572.6,1997-03-15
48,TâyNinh,1997,3,938.8,1997-03-15
36,VũngTàu,1997,3,775.6,1997-03-15
59,MộcHoá,1997,3,1279.9,1997-03-15
60,MỹTho,1997,3,1593.6,1997-03-15
52,CaoLãnh,1997,3,1532.5,1997-03-15
62,CàngLong,1997,3,950.8,1997-03-15
46,ChâuĐốc,1997,3,2011.1,1997-03-15
39,CầnThơ,1997,3,1778.0,1997-03-15
63,SócTrăng,1997,3,1162.3,1997-03-15
51,RạchGiá,1997,3,1452.9,1997-03-15
64,BạcLiêu,1997,3,724.2,1997-03-15
54,CàMau,1997,3,1081.1,1997-03-15
15,MườngTè,1997,4,562.8,1997-04-15
15,SìnHồ,1997,4,562.8,1997-04-15
15,TamĐường,1997,4,562.8,1997-04-15
15,ThanUyên,1997,4,562.8,1997-04-15
30,LaiChâu,1997,4,0.0,1997-04-15
30,TuầnGiáo,1997,4,0.0,1997-04-15
30,ĐiệnBiên,1997,4,0.0,1997-04-15
27,QuỳnhNhai,1997,4,855.0,1997-04-15
